ID,City,Lat,Lng,Cloudiness,Wind Speed,Humidity,Max Temp,Country,Date
0,georgetown,5.41,100.34,20,2.24,94,78.8,MY,1595202546
1,les cayes,18.2,-73.75,100,5.44,75,80.91,HT,1595202546
2,zyryanka,65.75,150.85,10,15.7,41,75.4,RU,1595202546
3,bluff,-46.6,168.33,75,3.0,83,39.0,NZ,1595202546
4,wajir,1.75,40.06,85,17.2,68,72.64,KE,1595202546
5,rikitea,-23.12,-134.97,45,11.03,62,68.68,PF,1595202546
6,mar del plata,-38.0,-57.56,75,12.75,93,52.0,AR,1595202356
7,cape town,-33.93,18.42,75,9.17,93,59.0,ZA,1595202547
8,punta arenas,-53.15,-70.92,63,5.99,69,35.01,CL,1595202505
9,capao da canoa,-29.75,-50.01,83,5.26,83,65.97,BR,1595202547
10,severo-kurilsk,50.68,156.12,100,12.35,87,51.93,RU,1595202547
11,ushuaia,-54.8,-68.3,0,6.93,92,28.4,AR,1595202391
12,albany,42.6,-73.97,59,4.63,55,88.0,US,1595202547
13,yellowknife,62.46,-114.35,40,8.05,49,75.99,CA,1595202547
14,kruisfontein,-34.0,24.73,0,6.08,39,53.24,ZA,1595202547
15,kaitangata,-46.28,169.85,98,1.99,80,43.0,NZ,1595202548
16,puerto ayora,-0.74,-90.35,92,5.99,90,70.0,EC,1595202548
17,port lincoln,-34.73,135.87,49,6.31,62,54.91,AU,1595202548
18,hermanus,-34.42,19.23,3,1.99,95,53.01,ZA,1595202333
19,labuhan,-6.88,112.21,12,8.97,83,76.78,ID,1595202340
20,caramay,10.18,119.24,96,2.06,76,82.89,PH,1595202548
21,ajdabiya,30.76,20.23,0,9.66,70,72.1,LY,1595202548
22,tasiilaq,65.61,-37.64,0,5.82,81,48.2,GL,1595202549
23,wilmington,34.23,-77.94,1,11.41,55,89.6,US,1595202299
24,kodiak,57.79,-152.41,90,11.41,82,59.0,US,1595202549
25,la palma,33.85,-118.05,20,12.75,39,86.0,US,1595202291
26,vaini,-21.2,-175.2,90,9.17,100,68.0,TO,1595202549
27,lata,40.16,-8.33,0,2.44,82,66.0,PT,1595202549
28,jamestown,42.1,-79.24,40,11.41,100,73.99,US,1595202341
29,filadelfia,39.95,-75.16,20,9.17,49,91.4,US,1595202347
30,visnes,59.36,5.22,12,9.17,76,55.4,NO,1595202550
31,sao joao da barra,-21.64,-41.05,0,11.07,88,70.5,BR,1595202447
32,nanortalik,60.14,-45.24,2,6.44,74,48.34,GL,1595202550
33,jacqueville,5.21,-4.41,20,4.7,100,75.2,CI,1595202550
34,eldama ravine,0.05,35.73,100,1.41,92,54.55,KE,1595202550
35,tuktoyaktuk,69.45,-133.04,40,4.7,75,46.4,CA,1595202551
36,saint-francois,46.42,3.91,0,3.36,77,61.0,FR,1595202551
37,dikson,73.51,80.55,100,10.96,95,41.09,RU,1595202551
38,bambous virieux,-20.34,57.76,40,5.82,88,66.2,MU,1595202551
39,pisco,-13.7,-76.22,20,14.99,77,62.6,PE,1595202373
40,saint george,37.1,-113.58,1,16.11,7,106.0,US,1595202351
41,mataura,-46.19,168.86,92,3.0,83,39.0,NZ,1595202340
42,iskateley,67.68,53.15,39,6.96,80,53.85,RU,1595202551
43,tuatapere,-46.13,167.68,96,3.0,83,39.0,NZ,1595202552
44,bredasdorp,-34.53,20.04,6,1.12,93,57.2,ZA,1595202552
45,hohhot,40.81,111.65,0,4.47,72,62.6,CN,1595202552
46,kapaa,22.08,-159.32,75,16.11,74,84.2,US,1595202552
47,rosignol,6.28,-57.53,27,5.97,92,76.51,GY,1595202552
48,atuona,-9.8,-139.03,24,14.52,74,79.54,PF,1595202552
49,avarua,-21.21,-159.78,81,13.87,88,73.4,CK,1595202552
50,omsukchan,62.53,155.8,4,5.01,50,63.79,RU,1595202552
51,hobart,-42.88,147.33,75,17.22,49,48.2,AU,1595202265
52,hasaki,35.73,140.83,75,6.93,94,79.0,JP,1595202553
53,puerto colombia,10.99,-74.95,40,10.29,79,84.2,CO,1595202469
54,rawson,-43.3,-65.1,100,11.27,81,45.84,AR,1595202458
55,saint-philippe,-21.36,55.77,40,9.17,72,64.4,RE,1595202553
